Country,Population,Average
China,1434.676,11830.29039
United States,338.524,4877.461296
India,1425.158,2519.540459
Russia,143.204,1876.377591
Japan,125.258,1124.076391
Iran,85.609,698.4524506
Indonesia,279.934,592.7537783
Saudi Arabia,36.311,596.4874211
Germany,82.556,706.3422734
Canada,38.557,580.6207722
South Korea,51.96,633.1942415
Mexico,138.323,475.8051455
Brazil,217.937,482.8050914
Türkiye,85.404,421.1412864
South Africa,60.611,444.0815676
Australia,26.287,395.8493166
Viet Nam,101.085,296.5987084
"Italy San Marino and the Holy See",58.833,332.3228374
United Kingdom,68.405,356.5680403
Poland,37.626,313.2477006
Malaysia,34.131,257.5448299
France and Monaco,66.405,317.6783938
Taiwan,23.968,294.7030955
Thailand,69.621,275.9632999
Egypt,108.117,246.4025135
Kazakhstan,19.297,227.1457371
Spain and Andorra,46.387,251.6916649
United Arab Emirates,10.187,201.9446286
Pakistan,219.51,207.5500931
Iraq,44.875,172.9645045
Argentina,46.707,188.1077499
Algeria,45.179,174.169567
Philippines,114.497,139.1756772
Uzbekistan,34.428,124.3972828
Ukraine,42.916,194.6895361
Nigeria,222.349,124.7927202
Qatar,2.937,117.1894281
Bangladesh,174.948,106.8890937
Netherlands,17.325,152.5855851
Kuwait,4.484,101.1919252
Colombia,51.243,85.96639518
Oman,5.44,85.48932817
Czechia,10.629,102.7327874
Venezuela,34.311,117.4482219
Belgium,11.749,96.20937759
Chile,18.859,88.58828271
Romania,19.11,78.64225409
Morocco,38.319,67.09530704
Turkmenistan,6.279,65.72951736
North Korea,26.159,59.14848818
